step,epoch,loss,learning_rate
100,0.1278772378516624,2.249,5.063938618925832e-06
200,0.2557544757033248,1.5349,1.0179028132992328e-05
300,0.3836317135549872,0.9083,1.5294117647058826e-05
400,0.5115089514066496,0.7857,2.040920716112532e-05
500,0.639386189258312,0.6443,2.5524296675191817e-05
600,0.7672634271099744,0.6256,3.063938618925831e-05
700,0.8951406649616368,0.5844,3.5754475703324805e-05
800,1.0230179028132993,0.5826,4.086956521739131e-05
900,1.1508951406649617,0.5829,4.59846547314578e-05
1000,1.278772378516624,0.5439,5.109974424552429e-05
1100,1.4066496163682864,0.5766,5.621483375959079e-05
1200,1.5345268542199488,0.6277,6.13299232736573e-05
1300,1.6624040920716112,0.6163,6.644501278772379e-05
1400,1.7902813299232738,0.5801,7.156010230179029e-05
1500,1.918158567774936,0.5278,7.667519181585678e-05
1600,2.0460358056265986,0.5373,8.179028132992328e-05
1700,2.1739130434782608,0.5643,8.690537084398978e-05
1800,2.3017902813299234,0.4735,9.202046035805627e-05
1900,2.4296675191815855,0.4644,9.713554987212277e-05
2000,2.557544757033248,0.5504,0.00010225063938618926
2100,2.6854219948849103,0.5271,0.00010736572890025576
2200,2.813299232736573,0.6118,0.00011248081841432225
2300,2.9411764705882355,0.6223,0.00011759590792838875
2400,3.0690537084398977,0.6002,0.00012271099744245523
2500,3.1969309462915603,0.5561,0.00012782608695652173
2600,3.3248081841432224,0.6239,0.00013294117647058822
2700,3.452685421994885,0.5735,0.00013805626598465472
2800,3.580562659846547,0.5458,0.00014317135549872122
2900,3.70843989769821,0.5518,0.0001482864450127877
3000,3.836317135549872,0.5862,0.0001534015345268542
3100,3.9641943734015346,0.5899,0.0001585166240409207
3200,4.092071611253197,0.6097,0.0001636317135549872
3300,4.21994884910486,0.5921,0.00016874680306905372
3400,4.3478260869565215,0.5398,0.00017386189258312022
3500,4.475703324808184,0.5873,0.0001789769820971867
3600,4.603580562659847,0.5272,0.0001840920716112532
3700,4.731457800511509,0.5736,0.0001892071611253197
3800,4.859335038363171,0.5896,0.0001943222506393862
3900,4.987212276214834,0.5452,0.0001994373401534527
4000,5.115089514066496,0.6108,0.00019949417448138676
4100,5.242966751918159,0.632,0.00019892583120204605
4200,5.370843989769821,0.5591,0.00019835748792270533
4300,5.498721227621483,0.5697,0.0001977891446433646
4400,5.626598465473146,0.4306,0.00019722080136402387
4500,5.754475703324808,0.6304,0.00019665245808468316
4600,5.882352941176471,0.5847,0.00019608411480534244
4700,6.010230179028133,0.5133,0.00019551577152600172
4800,6.138107416879795,0.4932,0.00019494742824666098
4900,6.265984654731458,0.6038,0.00019437908496732027
5000,6.3938618925831205,0.5839,0.00019381074168797955
5100,6.521739130434782,0.5612,0.00019324239840863883
5200,6.649616368286445,0.5258,0.0001926740551292981
5300,6.7774936061381075,0.5322,0.00019210571184995738
5400,6.90537084398977,0.4784,0.00019153736857061666
